A,W,X,Y,Z,P,B,Q,R,S,T,U,V
1548188,0,18.9,0.639,0.083,4.889,1528319,1,16.3,0.635,0.048,0.323,6.373
1594348,0,17.2,0.774,0.325,2.688,1765530,0,13.9,0.501,0.014,0.381,9.78
1662565,0,16.3,0.867,0.185,2.594,1551608,0.5,14,0.502,0.012,0.367,5.852
2644624,0,16.4,0.636,0.05,6.078,1951197,0,13.9,0.504,0.015,0.371,5.112
1715234,0.5,14,0.504,0.017,8.122,1637981,0,13.9,0.504,0.015,0.355,2.394
1632920,0,14,0.507,0.02,2.452,1898526,0.5,13.9,0.504,0.016,0.349,5.98
1873414,0,14.1,0.507,0.02,5.656,1613134,0.5,13.5,0.498,0.014,0.366,3.083
1610888,0,13.7,0.501,0.019,2.902,1642488,0.5,14.1,0.503,0.015,0.376,2.799
1674382,0.5,17.6,0.774,0.331,2.657,1640198,0,13.9,0.504,0.016,0.394,5.106
556037,0,19.3,0.643,0.091,4.466,2724728,0.5,13.8,0.507,0.02,0.401,4.46
566712,0.5,17.3,0.875,0.219,2.433,1637930,1,14.2,0.507,0.019,0.396,2.702
568911,0.5,17,0.641,0.077,4.404,1620007,0,19.3,0.639,0.089,0.35,4.55
605381,0,14.5,0.512,0.045,5.104,3188237,0,16.8,0.873,0.216,0.324,2.458
570395,1,16.7,0.512,0.303,2.595,2080575,0,16.8,0.641,0.074,0.376,4.535
731854,0,14.7,0.515,0.047,3.56,2353188,0.5,14.7,0.512,0.042,0.502,5.275
593683,0.5,14.8,0.515,0.047,2.679,2063139,0,16.3,0.512,0.297,0.488,2.64
568680,0,15,0.515,0.047,4.599,2417707,0.5,14.7,0.515,0.045,0.489,3.647
552842,1.5,15.8,0.509,0.134,2.87,2189306,0,14.8,0.514,0.045,0.488,2.754
574563,0,16.6,0.515,0.196,2.2,2257181,1,14.8,0.514,0.045,0.456,4.651
545230,0,19.5,0.643,0.091,4.465,2161645,0,15.4,0.509,0.084,0.486,3.531
562570,0,17,0.875,0.22,2.427,2195785,0,16.5,0.514,0.132,0.473,2.856
573488,0,16.9,0.641,0.077,4.402,529560,0,17.9,0.779,0.337,0.298,2.631
629817,0.5,14.7,0.512,0.045,5.102,568071,0,17.6,0.779,0.337,0.298,2.631
538332,0.5,16.5,0.512,0.303,2.586,1582508,0,19.8,0.644,0.098,0.366,4.147
635729,0,14.7,0.515,0.047,3.563,1637527,0,17.2,0.875,0.224,0.333,2.465
568171,0.5,14.6,0.515,0.047,2.679,1547432,0.5,17.2,0.641,0.08,0.385,4.342
550771,0.5,14.8,0.515,0.047,4.57,2816458,0.5,14.8,0.513,0.049,0.522,4.856
540848,0,15.6,0.509,0.135,2.846,2564630,0,14.6,0.516,0.051,0.509,3.496
563116,4.6,16.9,0.515,0.296,1.526,1653476,0.5,14.9,0.515,0.05,0.503,2.618
2037768,0,18.4,0.779,0.348,2.647,1583018,0.5,14.9,0.515,0.052,0.475,4.377
1672126,0,16.4,0.513,0.304,2.579,1570109,0,15.9,0.51,0.263,0.506,2.142
1529512,0,17.3,0.641,0.085,4.233,1671792,0,17,0.515,0.31,0.488,1.496
1769960,1,14.8,0.513,0.055,4.625,1591852,0,20.1,0.644,0.103,0.376,4.095
1728134,0.5,15,0.515,0.055,2.524,1673563,0,17.1,0.875,0.229,0.338,2.457
1666773,0,15.4,0.515,0.056,4.324,1778162,0.5,15,0.516,0.057,0.524,3.48
1612027,0,16.1,0.51,0.271,2.137,1650901,0,17.1,0.515,0.32,0.502,1.487
578382,0,20.1,0.645,0.126,3.77,1721322,0,18.7,0.78,0.367,0.324,2.675
668167,0,17.3,0.876,0.252,2.426,2199489,0,20.1,0.645,0.127,0.412,3.746
654837,0.5,17.5,0.642,0.104,3.865,2202229,0,17.1,0.876,0.254,0.357,2.42
664018,1,15.2,0.514,0.072,4.112,3136985,0,17.2,0.642,0.106,0.408,3.815
602774,0,17.2,0.515,0.335,2.402,2363920,0,15.2,0.514,0.073,0.577,4.069
812115,0,15.2,0.517,0.078,3.27,2304271,0.5,16.7,0.516,0.338,0.575,2.372
647445,0,15.6,0.516,0.073,2.279,2343995,0,15.2,0.517,0.081,0.581,3.212
587030,0.5,15.4,0.516,0.073,3.97,2205901,0,15,0.516,0.075,0.557,2.257
630815,0.5,16,0.511,0.289,2.157,2208990,0,15.5,0.516,0.075,0.527,3.928
607162,0,17,0.516,0.341,1.513,2239646,0.5,16.3,0.511,0.292,0.55,2.148
1699307,0,18.6,0.78,0.367,2.67,2162020,0.5,17,0.516,0.343,0.559,1.517
1590679,0.5,18.5,0.78,0.368,2.664,2086948,0,20.1,0.645,0.128,0.412,3.737
2843522,0,18.5,0.78,0.371,2.678,2169284,0.5,17.4,0.876,0.254,0.357,2.415
4732250,0,18.1,0.907,0.439,2.498,2165725,0,17.2,0.642,0.106,0.409,3.802
7411828,0,18.1,0.674,0.288,2.925,2276537,0,15,0.514,0.074,0.577,4.057
5932240,0,16,0.551,0.212,3.579,2214185,0,16.9,0.516,0.338,0.575,2.367
4573113,0,16.8,0.529,0.416,2.427,2422932,0.5,15.1,0.517,0.081,0.582,3.204
3061628,0,19.1,0.676,0.477,1.86,3239644,0.5,15.3,0.516,0.076,0.557,2.239
3045606,0.5,17.1,0.565,0.444,3.058,2185287,0,15.5,0.516,0.077,0.527,3.877
2297228,0.5,22.2,0.691,0.562,2.856,2219077,0.5,16,0.511,0.292,0.551,2.145
2360500,0,20.2,0.82,0.811,2.602,3175438,0,17.1,0.516,0.343,0.56,1.515
2317054,0,22.9,0.944,0.735,2.463,4756608,0,21,0.659,0.247,0.536,3.138
2204625,0.5,23.7,0.713,0.581,2.63,4758247,0,19.3,0.792,0.487,0.416,2.558
2404958,0.5,24.1,0.614,0.747,2.506,5034800,0,15.5,0.547,0.153,0.653,3.505
2459847,0,17.1,0.569,0.489,2.939,4857192,0.5,23.2,0.581,0.467,0.692,2.647
2305614,0,19.2,0.676,0.488,1.878,4732072,0,16.2,0.554,0.22,0.773,3.153
2256870,0,18,0.565,0.746,2.724,4513046,0,16,0.553,0.202,0.744,2.11
2047019,0,20.6,0.823,0.972,2.603,4372786,0.5,17.2,0.551,0.479,0.621,1.867
27795785,0,20.7,0.824,1.033,2.582,3034354,0,22.1,0.69,0.553,0.717,2.875
560841,0,20.7,0.824,1.033,2.583,5392894,0.5,19.9,0.819,0.801,0.562,2.601
27684433,0,20.7,0.824,1.098,2.568,3024842,0,23.1,0.944,0.724,0.541,2.478
609827,0.5,20.8,0.824,1.098,2.567,2987540,0.5,23.9,0.712,0.57,0.65,2.646
4340612,0,23.5,0.953,0.998,2.486,2991039,0,22.3,0.609,0.411,0.856,2.852
6647768,0,24.5,0.722,0.816,2.638,3168965,0,24.1,0.613,0.736,0.884,2.542
5424290,0,22.8,0.625,0.635,2.819,3082606,1,17.2,0.568,0.478,1.026,2.945
7065840,0.5,18.1,0.584,0.746,2.891,3129643,0.5,18.2,0.564,0.734,0.89,2.708
5242272,0,18.9,0.58,0.978,2.659,3105546,1,18.6,0.566,0.715,0.912,2.128
593781,0.5,19.8,0.686,0.735,1.829,1775753,0,22.3,0.61,0.421,0.865,2.856
539000,0,18.3,0.581,0.701,2.971,1785205,1,17.2,0.566,0.454,0.882,3.061
3212026,0,19.9,0.686,0.758,1.827,2788255,0.5,18.7,0.566,0.726,0.922,2.125
3065703,0,18.4,0.582,0.724,2.961,2086980,0,22.6,0.697,0.728,0.811,2.839
4308792,0.5,22.9,0.7,0.923,2.772,636725,0,23.3,0.95,0.875,0.601,2.463
4319760,0,23.9,0.954,1.053,2.498,583954,0,24.3,0.718,0.705,0.751,2.665
4281396,0,24.5,0.723,0.865,2.64,607589,0,22.7,0.619,0.533,0.99,2.824
4382466,0,23.1,0.626,0.679,2.804,615790,0.5,24.3,0.623,0.874,0.99,2.466
2889860,0.5,25.1,0.63,1.036,2.502,738958,0.5,17.8,0.578,0.625,1.164,2.919
4783682,0,18.1,0.585,0.799,2.884,619273,0,19.4,0.682,0.612,0.804,1.852
4357703,0,19.7,0.686,0.769,1.815,570718,0,17.9,0.575,0.577,1.004,3.002
2456866,0,18.6,0.582,0.735,2.958,599334,0,18.4,0.574,0.868,1.025,2.695
4303411,0,18.9,0.581,1.027,2.646,589948,0.5,19,0.575,0.838,1.068,2.225
4332491,0.5,19.5,0.583,0.983,2.252,27821239,0,22.4,0.697,0.786,0.831,2.813
2133749,0.5,23.1,0.701,0.963,2.743,633017,0,23.6,0.951,0.925,0.622,2.479
2222190,0,21.2,0.826,1.218,2.571,582346,0,24.4,0.72,0.75,0.783,2.644
2240603,0,24.8,0.723,0.902,2.616,584398,0,22.6,0.621,0.574,1.031,2.827
2301865,0,25,0.631,1.073,2.481,628735,0,24.6,0.625,0.919,1.027,2.464
2372662,0.5,18.5,0.586,0.838,2.858,768620,0,18,0.581,0.674,1.196,2.91
2135875,0.5,20,0.686,0.805,1.794,648559,0,19.5,0.683,0.657,0.839,1.834
2189407,0,19.2,0.582,1.064,2.634,607988,0,17.7,0.578,0.622,1.042,2.942
1927742,0.5,23.3,0.701,0.976,2.733,585439,0,18.5,0.576,0.913,1.068,2.682
2392174,0,21.1,0.826,1.231,2.563,574194,0,19.1,0.578,0.879,1.11,2.222
1887446,0,23.8,0.955,1.102,2.481,578430,0,22.4,0.697,0.787,0.831,2.813
1906368,0.5,24.8,0.724,0.913,2.604,558725,1,23.4,0.951,0.926,0.622,2.479
2283404,0,25.4,0.632,1.086,2.48,540256,0.5,24.4,0.72,0.751,0.783,2.644
2251023,0,18.4,0.587,0.85,2.852,544394,0,22.6,0.621,0.575,1.032,2.827
2213545,0,20,0.687,0.817,1.788,576357,1,24.6,0.625,0.919,1.028,2.464
2100879,0,19.2,0.582,1.076,2.622,636083,0,18,0.581,0.674,1.197,2.91
2095857,0,23.3,0.701,0.988,2.726,563814,0,19.5,0.683,0.657,0.839,1.833
2725150,0,21.1,0.826,1.245,2.561,535809,0.5,17.7,0.578,0.622,1.042,2.942
1941890,0,24.8,0.724,0.926,2.605,551375,0,18.5,0.576,0.913,1.069,2.682
2187646,0.5,25.2,0.632,1.097,2.476,527049,1,19.1,0.578,0.879,1.11,2.222
2134790,0.5,18.6,0.587,0.862,2.846,27771327,0.5,22.7,0.698,0.849,0.856,2.773
2137941,0,20.3,0.687,0.829,1.791,610558,0,23.5,0.953,0.978,0.643,2.493
2225103,0,19.3,0.583,1.088,2.615,565995,0,24.6,0.722,0.798,0.814,2.618